trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration,entry_date,exit_date,entry_hour,exit_hour
1430,SELL,sup1,2025-09-24T09:09:00,23585.35,23510.35,2025-09-24T09:32:00,23508.35,TARGET,77.0,23.0,2025-09-24,2025-09-24,09:09,09:32
1431,SELL,res1,2025-09-24T11:00:00,23590.55,23515.55,2025-09-24T14:01:00,23627.35,STOP_LOSS,-36.8,181.0,2025-09-24,2025-09-24,11:00,14:01
1432,BUY,res1,2025-09-24T14:01:00,23617.05,23692.05,2025-09-24T15:32:00,23691.85,TARGET,74.8,91.0,2025-09-24,2025-09-24,14:01,15:32
1433,BUY,res1,2025-09-24T16:30:00,23702.35,23777.35,2025-09-24T16:30:00,23705.85,FORCE_EXIT,3.5,0.0,2025-09-24,2025-09-24,16:30,16:30
1434,SELL,sup1,2025-09-25T09:07:00,23605.85,23530.85,2025-09-25T11:40:00,23531.05,TARGET,74.8,153.0,2025-09-25,2025-09-25,09:07,11:40
1435,SELL,sup1,2025-09-25T11:45:00,23522.85,23447.85,2025-09-25T13:11:00,23446.05,TARGET,76.8,86.0,2025-09-25,2025-09-25,11:45,13:11
1436,SELL,sup1,2025-09-25T14:00:00,23423.85,23348.85,2025-09-25T16:04:00,23524.35,STOP_LOSS,-100.5,124.0,2025-09-25,2025-09-25,14:00,16:04
1437,BUY,res1,2025-09-25T16:04:00,23517.35,23592.35,2025-09-25T16:30:00,23524.85,FORCE_EXIT,7.5,26.0,2025-09-25,2025-09-25,16:04,16:30
1438,SELL,res1,2025-09-26T12:47:00,23606.55,23531.55,2025-09-26T13:41:00,23641.05,STOP_LOSS,-34.5,54.0,2025-09-26,2025-09-26,12:47,13:41
1439,BUY,res1,2025-09-26T13:41:00,23637.75,23712.75,2025-09-26T14:37:00,23719.25,TARGET,81.5,56.0,2025-09-26,2025-09-26,13:41,14:37
1440,BUY,res1,2025-09-29T09:00:00,23850.3,23925.3,2025-09-29T14:49:00,23696.75,STOP_LOSS,-153.55,349.0,2025-09-29,2025-09-29,09:00,14:49
1441,SELL,sup1,2025-09-29T14:49:00,23704.75,23629.75,2025-09-29T16:28:00,23760.75,STOP_LOSS,-56.0,99.0,2025-09-29,2025-09-29,14:49,16:28
1442,SELL,res1,2025-09-30T11:02:00,23733.45,23658.45,2025-09-30T11:18:00,23767.95,STOP_LOSS,-34.5,16.0,2025-09-30,2025-09-30,11:02,11:18
1443,BUY,res1,2025-09-30T11:18:00,23761.25,23836.25,2025-09-30T11:37:00,23741.75,STOP_LOSS,-19.5,19.0,2025-09-30,2025-09-30,11:18,11:37
1444,BUY,res1,2025-09-30T12:32:00,23769.25,23844.25,2025-09-30T16:30:00,23797.25,FORCE_EXIT,28.0,238.0,2025-09-30,2025-09-30,12:32,16:30
1445,BUY,sup1,2025-10-01T09:17:00,23795.75,23870.75,2025-10-01T09:28:00,23772.75,STOP_LOSS,-23.0,11.0,2025-10-01,2025-10-01,09:17,09:28
1446,SELL,res1,2025-10-01T09:28:00,23783.75,23708.75,2025-10-01T10:31:00,23846.75,STOP_LOSS,-63.0,63.0,2025-10-01,2025-10-01,09:28,10:31
1447,BUY,res1,2025-10-01T10:31:00,23834.45,23909.45,2025-10-01T11:09:00,23916.75,TARGET,82.3,38.0,2025-10-01,2025-10-01,10:31,11:09
1448,SELL,res1,2025-10-01T13:50:00,24001.25,23926.25,2025-10-01T15:27:00,24030.75,STOP_LOSS,-29.5,97.0,2025-10-01,2025-10-01,13:50,15:27
1449,BUY,res1,2025-10-01T15:27:00,24024.95,24099.95,2025-10-01T15:47:00,24099.25,TARGET,74.3,20.0,2025-10-01,2025-10-01,15:27,15:47
1450,BUY,res1,2025-10-02T10:02:00,24311.25,24386.25,2025-10-02T10:23:00,24393.25,TARGET,82.0,21.0,2025-10-02,2025-10-02,10:02,10:23
1451,BUY,res1,2025-10-02T15:31:00,24492.75,24567.75,2025-10-02T15:44:00,24473.25,STOP_LOSS,-19.5,13.0,2025-10-02,2025-10-02,15:31,15:44
1452,SELL,res1,2025-10-02T16:00:00,24467.75,24392.75,2025-10-02T16:30:00,24437.25,FORCE_EXIT,30.5,30.0,2025-10-02,2025-10-02,16:00,16:30
1453,SELL,res1,2025-10-03T09:27:00,24468.65,24393.65,2025-10-03T13:29:00,24392.65,TARGET,76.0,242.0,2025-10-03,2025-10-03,09:27,13:29
1454,BUY,sup1,2025-10-03T15:55:00,24369.15,24444.15,2025-10-03T16:02:00,24360.15,STOP_LOSS,-9.0,7.0,2025-10-03,2025-10-03,15:55,16:02
1455,SELL,res1,2025-10-03T16:02:00,24362.45,24287.45,2025-10-03T16:30:00,24385.65,FORCE_EXIT,-23.2,28.0,2025-10-03,2025-10-03,16:02,16:30
1456,BUY,res1,2025-10-06T09:21:00,24404.15,24479.15,2025-10-06T09:39:00,24373.25,STOP_LOSS,-30.9,18.0,2025-10-06,2025-10-06,09:21,09:39
1457,SELL,res1,2025-10-06T09:40:00,24373.15,24298.15,2025-10-06T09:41:00,24296.75,TARGET,76.4,1.0,2025-10-06,2025-10-06,09:40,09:41
1458,SELL,sup1,2025-10-06T10:14:00,24340.55,24265.55,2025-10-06T10:24:00,24380.75,STOP_LOSS,-40.2,10.0,2025-10-06,2025-10-06,10:14,10:24
