trade_id,signal_type,zone_name,entry_time,entry_price,target_price,exit_time,exit_price,exit_type,pnl,hold_duration
567,BUY,res1,2025-09-11T12:45:00,23670.75,23745.75,2025-09-11T15:50:00,23734.95,TARGET,64.20000000000073,185.0
568,BUY,sup1,2025-09-12T11:25:00,23643.35,23718.35,2025-09-12T15:35:00,23711.35,TARGET,68.0,250.0
569,BUY,sup1,2025-09-17T10:25:00,23434.15,23509.15,2025-09-17T11:10:00,23379.45,STOP_LOSS,-54.70000000000073,45.0
570,BUY,res1,2025-09-18T10:25:00,23630.85,23705.85,2025-09-18T15:15:00,23590.35,STOP_LOSS,-40.5,290.0
571,BUY,res1,2025-09-18T16:20:00,23656.15,23731.15,2025-09-19T09:45:00,23727.85,TARGET,71.69999999999709,1045.0
572,BUY,res1,2025-09-19T10:35:00,23752.85,23827.85,2025-09-19T11:45:00,23676.85,STOP_LOSS,-76.0,70.0
573,BUY,sup1,2025-09-19T13:50:00,23629.85,23704.85,2025-09-22T09:00:00,23554.4,STOP_LOSS,-75.44999999999709,4030.0
574,BUY,sup1,2025-09-22T15:55:00,23491.85,23566.85,2025-09-22T16:15:00,23471.85,STOP_LOSS,-20.0,20.0
575,BUY,sup1,2025-09-25T10:00:00,23603.35,23678.35,2025-09-25T10:55:00,23540.85,STOP_LOSS,-62.5,55.0
576,BUY,sup1,2025-09-25T12:50:00,23532.85,23607.85,2025-09-25T13:20:00,23385.35,STOP_LOSS,-147.5,30.0
577,BUY,res1,2025-09-25T15:05:00,23441.35,23516.35,2025-09-25T16:05:00,23528.35,TARGET,87.0,60.0
578,BUY,sup1,2025-09-26T13:20:00,23608.25,23683.25,2025-09-26T13:55:00,23687.25,TARGET,79.0,35.0
579,BUY,sup1,2025-09-29T12:45:00,23781.25,23856.25,2025-09-29T14:10:00,23739.75,STOP_LOSS,-41.5,85.0
580,BUY,sup1,2025-09-30T10:10:00,23701.25,23776.25,2025-09-30T12:35:00,23783.75,TARGET,82.5,145.0
581,BUY,res1,2025-09-30T14:05:00,23795.75,23870.75,2025-10-01T10:35:00,23864.25,TARGET,68.5,1230.0
582,BUY,sup1,2025-10-01T15:05:00,23991.25,24066.25,2025-10-01T15:40:00,24057.75,TARGET,66.5,35.0
583,BUY,res1,2025-10-02T10:15:00,24335.25,24410.25,2025-10-02T10:30:00,24418.25,TARGET,83.0,15.0
584,BUY,sup1,2025-10-02T12:40:00,24429.45,24504.45,2025-10-03T09:00:00,24528.7,TARGET,99.25,1220.0
585,BUY,sup1,2025-10-03T16:10:00,24380.15,24455.15,2025-10-03T16:20:00,24356.65,STOP_LOSS,-23.5,10.0
586,BUY,sup1,2025-10-03T16:30:00,24381.65,24456.65,2025-10-06T09:00:00,24350.85,STOP_LOSS,-30.80000000000291,3870.0
587,BUY,sup1,2025-10-06T10:25:00,24380.65,24455.65,2025-10-06T13:25:00,24453.65,TARGET,73.0,180.0
588,BUY,res1,2025-10-06T15:15:00,24470.75,24545.75,2025-10-06T15:45:00,24449.55,STOP_LOSS,-21.200000000000728,30.0
589,BUY,res1,2025-10-07T15:10:00,24452.05,24527.05,2025-10-07T15:15:00,24442.75,STOP_LOSS,-9.299999999999272,5.0
590,BUY,sup1,2025-10-08T09:30:00,24427.05,24502.05,2025-10-08T11:40:00,24496.65,TARGET,69.60000000000218,130.0
591,BUY,sup1,2025-10-08T12:45:00,24507.95,24582.95,2025-10-08T14:50:00,24579.15,TARGET,71.20000000000073,125.0
592,BUY,res1,2025-10-08T15:00:00,24586.55,24661.55,2025-10-08T15:50:00,24545.25,STOP_LOSS,-41.29999999999927,50.0
593,BUY,sup1,2025-10-08T16:00:00,24574.05,24649.05,2025-10-09T09:00:00,24674.25,TARGET,100.20000000000073,1020.0
594,BUY,sup1,2025-10-10T09:00:00,24658.15,24733.15,2025-10-10T11:05:00,24625.55,STOP_LOSS,-32.60000000000218,125.0
595,BUY,res1,2025-10-10T14:25:00,24626.35,24701.35,2025-10-10T14:45:00,24580.55,STOP_LOSS,-45.79999999999927,20.0
596,BUY,sup1,2025-10-10T15:00:00,24603.05,24678.05,2025-10-13T09:00:00,24399.55,STOP_LOSS,-203.5,3960.0
597,BUY,sup1,2025-10-13T11:30:00,24376.75,24451.75,2025-10-13T12:45:00,24348.65,STOP_LOSS,-28.099999999998545,75.0
598,BUY,sup1,2025-10-13T16:00:00,24334.95,24409.95,2025-10-14T09:00:00,24209.55,STOP_LOSS,-125.40000000000146,1020.0
599,BUY,sup1,2025-10-14T11:30:00,24184.15,24259.15,2025-10-14T12:45:00,24063.65,STOP_LOSS,-120.5,75.0
